"mapped_by","year","reporter_fao","reporter_name","flow","hs_chap","hs","hs_extend","fcl","details","tl_description"
"C",2000,169,"Paraguay",1,51,"51010000000",51010000000,0,"HS 4-digit heading?",NA
"C",2000,169,"Paraguay",1,53,"53010000000",53010000000,0,"HS 4-digit heading?",NA
"C",2000,169,"Paraguay",1,7,"7040000000",7040000000,0,"HS 4-digit heading?","Cabbages, Cauliflower, Kale Etc, Fresh Or Chilled"
"C",2000,169,"Paraguay",1,7,"7100000000",7100000000,0,"HS 4-digit heading?","Vegetables (Raw Or Cooked By Steam Etc), Frozen"
"C",2000,169,"Paraguay",1,8,"8070000000",8070000000,0,"HS 4-digit heading?",NA
"C",2000,171,"Philippines",1,53,"53081000",53081000,813,"Generic HS2012 to FCL unique six-digit match",NA
"2",2000,188,"St Kitts Nev",1,35,"35019010",35019010,0,NA,NA
"2",2000,188,"St Kitts Nev",1,35,"35019090",35019090,0,NA,NA
"2",2000,188,"St Kitts Nev",2,21,"21050010",21050010,0,NA,NA
"2",2000,188,"St Kitts Nev",2,4,"4031000",4031000,0,NA,NA
"2",2000,188,"St Kitts Nev",2,4,"4039000",4039000,0,NA,NA
"2",2000,188,"St Kitts Nev",2,7,"7119000",7119000,0,NA,NA
"2",2000,196,"Seychelle",1,21,"2101900",21019000,0,NA,NA
"T",2000,196,"Seychelle",1,38,"38231000",38231000,1276,"Generic HS2002 to FCL unique six-digit match","Industrial monocarboxylic fatty acids; acid oils from refining; industrial fatty alcohols"
"2",2000,196,"Seychelle",2,16,"160232",16023200,0,NA,NA
"2",2000,196,"Seychelle",2,2,"20711",2071100,0,NA,NA
"T",2000,196,"Seychelle",2,2,"20713",2071300,1058,"Generic HS2002 to FCL (could also be mapped to 1059) ","Fresh or chilled cuts and edible offal of fowls of the species Gallus domesticus"
"2",2000,196,"Seychelle",2,2,"20724",2072400,0,NA,NA
"T",2000,196,"Seychelle",2,2,"20726",2072600,1081,"Generic HS2002 to FCL unique six-digit match","Fresh or chilled cuts and edible offal of turkeys of the species domesticus"
"T",2000,196,"Seychelle",2,2,"20732",2073200,1069,"Generic HS2002 to FCL (could also be mapped to 1073) ","Fresh or chilled ducks, geese and guinea fowls of the species domesticus, not cut into pieces"
"T",2000,196,"Seychelle",2,2,"20735",2073500,1069,"Generic HS2002 to FCL (could also be mapped to 1073) ","Fresh or chilled cuts and edible offal of ducks, geese or guinea fowls of the species domesticus (excluding fatty livers)"
"T",2000,196,"Seychelle",2,2,"20736",2073600,1069,"Generic HS2002 to FCL (could also be mapped to 1073,1074,1075) ","Frozen cuts and edible offal of ducks, geese or guinea fowls of the species domesticus"
"T",2000,196,"Seychelle",2,4,"40510",4051000,886,"Generic HS2002 to FCL (could also be mapped to 952,983,1022) ","Butter (excluding dehydrated butter and ghee)"
"T",2000,196,"Seychelle",2,4,"40520",4052000,886,"Generic HS2002 to FCL (could also be mapped to 952,983,1022) ","Dairy spreads of a fat content, by weight, of >= 39% but < 80%"
"T",2000,196,"Seychelle",2,4,"40590",4059000,887,"Generic HS2002 to FCL (could also be mapped to 953, 1022) ","Fats and oils derived from milk, and dehydrated butter and ghee (excluding natural butter, recombined butter and whey butter)"
"2",2000,196,"Seychelle",2,8,"80111",8011100,0,NA,NA
"2",2000,196,"Seychelle",2,8,"80119",8011900,0,NA,NA
"2",2000,196,"Seychelle",2,8,"80121",8012100,0,NA,NA
"2",2015,180,"Palau",2,22,"22042910",NA,0,NA,NA
"2",2000,196,"Seychelle",2,8,"80132",8013200,0,NA,NA
"2",2000,196,"Seychelle",2,8,"80711",8071100,0,NA,NA
"2",2000,196,"Seychelle",2,8,"80719",8071900,0,NA,NA
"2",2000,196,"Seychelle",2,8,"81050",8105000,0,NA,NA
"T",2000,207,"Suriname",1,1,"1060040",1060040,1169,"Country TL description (WITS)","Dogs"
"T",2000,207,"Suriname",1,1,"1060080",1060080,1169,"Country TL description (WITS)","Other birds"
"2",2000,207,"Suriname",1,11,"11041000",11041000,0,NA,NA
"2",2000,207,"Suriname",1,11,"11042000",11042000,0,NA,NA
"2",2000,207,"Suriname",1,12,"12079010",12079010,0,NA,NA
"2",2000,207,"Suriname",1,12,"12079090",12079090,0,NA,NA
"2",2000,207,"Suriname",1,16,"16024010",16024010,0,NA,NA
"2",2000,207,"Suriname",1,16,"16024020",16024020,0,NA,NA
"2",2000,207,"Suriname",1,16,"16024030",16024030,0,NA,NA
"2",2000,207,"Suriname",1,16,"16024090",16024090,0,NA,NA
"2",2000,207,"Suriname",1,17,"17020010",17020010,0,NA,NA
"2",2000,207,"Suriname",1,17,"17020030",17020030,0,NA,NA
"2",2000,207,"Suriname",1,17,"17020040",17020040,0,NA,NA
"2",2000,207,"Suriname",1,17,"17020050",17020050,0,NA,NA
"2",2000,207,"Suriname",1,17,"17020090",17020090,0,NA,NA
"2",2000,207,"Suriname",1,19,"19020010",19020010,0,NA,NA
"2",2000,207,"Suriname",1,19,"19020090",19020090,0,NA,NA
"2",2000,207,"Suriname",1,19,"19050010",19050010,0,NA,NA
"2",2000,207,"Suriname",1,19,"19050020",19050020,0,NA,NA
"2",2000,207,"Suriname",1,19,"19050030",19050030,0,NA,NA
"2",2000,207,"Suriname",1,19,"19050050",19050050,0,NA,NA
"2",2000,207,"Suriname",1,19,"19050090",19050090,0,NA,NA
"2",2000,207,"Suriname",1,20,"20055090",20055090,0,NA,NA
"2",2000,207,"Suriname",1,20,"20080010",20080010,0,NA,NA
"2",2000,207,"Suriname",1,20,"20080020",20080020,0,NA,NA
"2",2000,207,"Suriname",1,20,"20080030",20080030,0,NA,NA
"2",2000,207,"Suriname",1,20,"20080040",20080040,0,NA,NA
"2",2000,207,"Suriname",1,20,"20080050",20080050,0,NA,NA
"2",2000,207,"Suriname",1,20,"20080080",20080080,0,NA,NA
"2",2000,207,"Suriname",1,20,"20080090",20080090,0,NA,NA
"2",2000,207,"Suriname",1,20,"20091010",20091010,0,NA,NA
"2",2000,207,"Suriname",1,20,"20091090",20091090,0,NA,NA
"T",2000,207,"Suriname",1,20,"20092090",20092090,510,"Generic HS2007 to FCL (could also be mapped to 509) ","Grapefruit juice, unfermented, not containing a"
"T",2000,207,"Suriname",1,20,"20093010",20093010,513,"Country TL description, Old SWS series  (could also be mapped to 514) ","Juice of any other single citrus fruit"
"T",2000,207,"Suriname",1,20,"20093030",20093030,513,"Country TL description, Old SWS series  (could also be mapped to 514) ","Juice of any other single citrus fruit"
"T",2000,207,"Suriname",1,20,"20093090",20093090,513,"Country TL description, Old SWS series  (could also be mapped to 514) ","Juice of any other single citrus fruit"
"K",2000,207,"Suriname",1,20,"20094090",20094090,576,"Country TL description","Pineapple juice"
"T",2000,207,"Suriname",1,20,"20097010",20097010,518,"Country TL description  (could also be mapped to 519) ","Apple juice, unfermented, not containing added"
"T",2000,207,"Suriname",1,20,"20097090",20097090,518,"Country TL description  (could also be mapped to 519) ","Apple juice"
"2",2000,207,"Suriname",1,2,"2042000",2042000,0,NA,NA
"2",2000,207,"Suriname",1,2,"2044000",2044000,0,NA,NA
