"hs2012_code","ex_code","faostat_code","faostat_name","unit"
"081030",NA,550,"CURRANTS","MT"
"081040",NA,552,"BLUEBERRIES","MT"
"081040",NA,554,"CRANBERRIES","MT"
"081040",NA,558,"BERRIES NES","MT"
"081050",NA,592,"kiwi fruit","MT"
"081060",NA,603,"FRUIT TROPICAL FRESH NES","MT"
"081070",NA,587,"PERSIMMONS","MT"
"081090",NA,541,"FRUITSTONE FR.NES","MT"
"081090",NA,591,"CASHEWAPPLE","MT"
"081090",NA,619,"FRUIT FRESH NES","MT"
"081110",NA,623,"FRUIT Prp NES","MT"
"081120",NA,623,"FRUIT Prp NES","MT"
"081190",NA,623,"FRUIT Prp NES","MT"
"081210",NA,623,"FRUIT Prp NES","MT"
"081290",NA,623,"FRUIT Prp NES","MT"
"081310",NA,527,"DRY APRICOTS","MT"
"081320",NA,537,"PLUMS DRIED (PRUNES)","MT"
"081330",NA,620,"FRUIT DRIED NES","MT"
"081340",NA,620,"FRUIT DRIED NES","MT"
"081350",NA,620,"FRUIT DRIED NES","MT"
"081400",NA,623,"FRUIT Prp NES","MT"
"090111",NA,656,"COFFEE GREEN","MT"
"090112",NA,656,"COFFEE GREEN","MT"
"090121",NA,657,"COFFEE ROASTED","MT"
"090122",NA,657,"COFFEE ROASTED","MT"
"090190",NA,658,"COFFEE SUBST. CONT.COFFEE","MT"
"090190",NA,660,"Coffee husks and skins","MT"
"090210",NA,667,"TEA","MT"
"090220",NA,667,"TEA","MT"
"090230",NA,667,"TEA","MT"
"090240",NA,667,"TEA","MT"
"090300",NA,671,"MATE","MT"
"090411",NA,687,"PEPPER","MT"
"090412",NA,687,"PEPPER","MT"
"090421",NA,689,"PIMENTO","MT"
"090422",NA,689,"PIMENTO","MT"
"090510",NA,692,"VANILLA","MT"
"090520",NA,692,"VANILLA","MT"
"090611",NA,693,"CINNAMON(CANELLA)","MT"
"090619",NA,693,"CINNAMON(CANELLA)","MT"
"090620",NA,693,"CINNAMON(CANELLA)","MT"
"090710",NA,698,"CLOVESWHOLE STEM","MT"
"090720",NA,698,"CLOVESWHOLE STEM","MT"
"090811",NA,702,"NUTMEG MACE CARDAMONS","MT"
"090812",NA,702,"NUTMEG MACE CARDAMONS","MT"
"090821",NA,702,"NUTMEG MACE CARDAMONS","MT"
"090822",NA,702,"NUTMEG MACE CARDAMONS","MT"
"090831",NA,702,"NUTMEG MACE CARDAMONS","MT"
"090832",NA,702,"NUTMEG MACE CARDAMONS","MT"
"090921",NA,711,"ANISE BADIAN FENNEL","MT"
"090922",NA,711,"ANISE BADIAN FENNEL","MT"
