"reporter","flow","hs6","fcl","Year"
141,1,50700,1293,2000
141,1,50710,1293,2000
141,1,50790,1293,2000
141,1,50800,1293,2000
141,1,50900,1293,2000
141,1,51000,1293,2000
141,1,51110,1293,2000
141,1,51191,1293,2000
141,1,51199,1293,2000
141,1,60100,1293,2000
141,1,60110,1293,2000
141,1,60120,1293,2000
141,1,60200,1293,2000
141,1,60210,1293,2000
141,1,60220,1293,2000
141,1,60230,1293,2000
141,1,60240,1293,2000
141,1,60290,1293,2000
141,1,60291,1293,2000
141,1,60299,1293,2000
141,1,60300,1293,2000
141,1,60310,1293,2000
141,1,60311,1293,2000
141,1,60312,1293,2000
141,1,60313,1293,2000
141,1,60314,1293,2000
141,1,60315,1293,2000
141,1,60319,1293,2000
141,1,60390,1293,2000
141,1,60400,1293,2000
141,1,60410,1293,2000
141,1,60420,1293,2000
141,1,60490,1293,2000
141,1,60491,1293,2000
141,1,60499,1293,2000
141,1,70100,116,2000
141,1,70110,116,2000
141,1,70190,116,2000
141,1,70200,388,2000
141,1,70300,403,2000
141,1,70320,406,2000
141,1,70323,406,2000
141,1,70390,407,2000
141,1,70400,358,2000
141,1,70410,393,2000
141,1,70420,358,2000
141,1,70490,358,2000
141,1,70500,372,2000
141,1,70511,372,2000
141,1,70519,372,2000
141,1,70521,372,2000
141,1,70529,372,2000
141,1,70600,426,2000
141,1,70690,463,2000
141,1,70700,397,2000
141,1,70800,414,2000
141,1,70810,417,2000
141,1,70820,414,2000
141,1,70890,420,2000
141,1,70900,463,2000
141,1,70910,366,2000
141,1,70920,367,2000
141,1,70930,399,2000
141,1,70940,463,2000
141,1,70951,449,2000
141,1,70952,449,2000
141,1,70959,449,2000
141,1,70960,401,2000
141,1,70970,373,2000
141,1,70991,366,2000
141,1,70992,260,2000
141,1,70993,394,2000
141,1,70999,463,2000
141,1,71000,473,2000
141,1,71010,118,2000
141,1,71021,473,2000
141,1,71022,473,2000
141,1,71029,473,2000
141,1,71030,473,2000
141,1,71040,447,2000
141,1,71080,473,2000
141,1,71090,473,2000
141,1,71100,474,2000
141,1,71110,474,2000
141,1,71120,262,2000
141,1,71130,474,2000
141,1,71140,474,2000
141,1,71151,474,2000
141,1,71159,474,2000
141,1,71190,474,2000
141,1,71200,469,2000
141,1,71210,469,2000
141,1,71220,469,2000
141,1,71230,450,2000
141,1,71231,450,2000
141,1,71232,450,2000
141,1,71233,450,2000
141,1,71239,450,2000
141,1,71290,469,2000
141,1,71300,176,2000
141,1,71310,187,2000
141,1,71320,191,2000
141,1,71331,176,2000
141,1,71332,176,2000
141,1,71333,176,2000
141,1,71334,203,2000
141,1,71335,195,2000
141,1,71339,176,2000
141,1,71340,201,2000
141,1,71350,181,2000
141,1,71390,211,2000
141,1,71400,122,2000
141,1,71410,128,2000
141,1,71420,122,2000
141,1,71430,137,2000
141,1,71440,136,2000
141,1,80100,249,2000
141,1,80111,250,2000
141,1,80119,249,2000
141,1,80121,216,2000
141,1,80122,229,2000
141,1,80130,230,2000
141,1,80131,217,2000
141,1,80132,230,2000
141,1,80200,231,2000
141,1,80211,221,2000
141,1,80212,231,2000
141,1,80221,225,2000
141,1,80222,233,2000
141,1,80231,222,2000
141,1,80232,232,2000
141,1,80240,220,2000
141,1,80241,220,2000
141,1,80242,220,2000
141,1,80250,223,2000
141,1,80251,223,2000
141,1,80252,223,2000
141,1,80260,234,2000
141,1,80261,234,2000
141,1,80262,234,2000
141,1,80290,234,2000
141,1,80300,486,2000
141,1,80310,489,2000
141,1,80390,486,2000
141,1,80400,603,2000
141,1,80410,577,2000
141,1,80420,569,2000
141,1,80430,574,2000
141,1,80440,572,2000
141,1,80450,571,2000
141,1,80500,490,2000
141,1,80510,490,2000
141,1,80520,495,2000
141,1,80530,497,2000
141,1,80540,507,2000
141,1,80550,497,2000
141,1,80590,512,2000
141,1,80600,560,2000
141,1,80610,560,2000
141,1,80620,561,2000
141,1,80700,567,2000
141,1,80711,567,2000
141,1,80719,568,2000
141,1,80720,600,2000
141,1,80800,515,2000
141,1,80810,515,2000
141,1,80820,521,2000
141,1,80830,521,2000
141,1,80840,523,2000
141,1,80900,534,2000
141,1,80910,526,2000
141,1,80920,531,2000
141,1,80921,530,2000
141,1,80929,531,2000
141,1,80930,534,2000
141,1,80940,536,2000
141,1,81000,544,2000
141,1,81010,544,2000
141,1,81020,547,2000
141,1,81030,549,2000
141,1,81040,558,2000
141,1,81050,592,2000
141,1,81060,603,2000
141,1,81070,587,2000
141,1,81090,619,2000
141,1,81100,623,2000
141,1,81110,623,2000
141,1,81120,623,2000
141,1,81190,623,2000
141,1,81200,623,2000
141,1,81210,623,2000
141,1,81220,623,2000
141,1,81290,623,2000
141,1,81300,620,2000
141,1,81310,527,2000
141,1,81320,537,2000
141,1,81330,620,2000
141,1,81340,620,2000
141,1,81350,620,2000
141,1,81400,623,2000
141,1,90100,656,2000
141,1,90111,656,2000
141,1,90112,656,2000
141,1,90121,657,2000
141,1,90122,657,2000
141,1,90140,658,2000
141,1,90190,658,2000
141,1,90200,667,2000
141,1,90210,667,2000
141,1,90220,667,2000
141,1,90230,667,2000
141,1,90240,667,2000
141,1,90300,671,2000
141,1,90400,687,2000
141,1,90411,687,2000
141,1,90412,687,2000
141,1,90420,689,2000
141,1,90421,689,2000
141,1,90422,689,2000
141,1,90500,692,2000
141,1,90510,692,2000
141,1,90520,692,2000
141,1,90600,693,2000
141,1,90610,693,2000
141,1,90611,693,2000
141,1,90619,693,2000
141,1,90620,693,2000
141,1,90700,698,2000
141,1,90710,698,2000
