"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus"
"894","5910","21439.9","2016",700,"E"
"894","5910","21495.01","2016",21.204,"T"
"894","5910","21495.02","2016",0.02,"T"
"894","5910","2161","2016",531.467,"T"
"894","5910","2167","2016",0.011,"T"
"894","5910","2168","2016",261.165,"T"
"894","5910","21691.90","2016",0.84537,"T"
"894","5910","21693.02","2016",0.2219,"T"
"894","5910","21910.03","2016",10815,"T"
"894","5910","21910.07","2016",1426.49,"T"
"894","5910","21910.15","2016",25688.79,"T"
"894","5910","21910.16","2016",82.22,"T"
"894","5910","21920","2016",10228.272,"T"
"894","5910","21931","2016",0.865,"T"
"894","5910","22110.02","2016",9.1,"T"
"894","5910","22120","2016",23.26,"T"
"894","5910","22211","2016",34,"T"
"894","5910","22212","2016",0.741,"T"
"894","5910","22221.01","2016",1.091,"T"
"894","5910","22222.01","2016",6.98725,"T"
"894","5910","22230.01","2016",7461.6826,"T"
"894","5910","22230.02","2016",155,"T"
"894","5910","22230.03","2016",233.8,"T"
"894","5910","22241.01","2016",2.47923,"T"
"894","5910","22251.01","2016",0.84771,"T"
"894","5910","22290","2016",0.863,"T"
"894","5910","23110","2016",10899,"T"
"894","5910","23120.03","2016",9089.9036,"T"
"894","5910","23120.06","2016",58.975,"T"
"894","5910","23120.10","2016",301.97,"T"
"894","5910","23140.08","2016",5000,"E"
"894","5910","23161.02","2016",0.905,"T"
"894","5910","23161.03","2016",2.65887,"T"
"894","5910","23162","2016",34,"T"
"894","5910","23170.01","2016",2.4,"T"
"894","5910","23170.02","2016",18,"T"
"894","5910","23170.03","2016",0.025,"T"
"894","5910","23170.04","2016",2,"T"
"894","5910","23210.03","2016",0.17,"T"
"894","5910","23210.04","2016",0.145368,"T"
"894","5910","23210.05","2016",0,"T"
"894","5910","23210.06","2016",2.605,"T"
"894","5910","23220.06","2016",4.437,"T"
"894","5910","23230.01","2016",0.05,"T"
"894","5910","23311","2016",164.475,"T"
"894","5910","23490.01","2016",11,"T"
"894","5910","2351f","2016",170000,"E"
"894","5910","23520","2016",41062,""
"894","5910","23540","2016",67903.36725,"T"
"894","5910","23620","2016",0.4,"T"
"894","5910","23911","2016",0.456,"T"
"894","5910","23912.01","2016",0.05202,"T"
"894","5910","23912.02","2016",0.006,"T"
"894","5910","23914","2016",0.30085,"T"
"894","5910","23991.01","2016",1.98,"T"
"894","5910","23991.03","2016",6.3,"T"
"894","5910","23995.03","2016",0.9,"T"
"894","5910","23999.02","2016",1454.3253,"T"
"894","5910","24110","2016",65.54,"T"
"894","5910","24220","2016",0.06,"T"
"894","5910","24230.03","2016",0.12584,"T"
"894","5910","24310.01","2016",33.98446,"T"
"894","5910","24320","2016",271.95,"T"
"894","5910","24490","2016",26713.511689,"T"
"894","5910","25020.01","2016",27,"T"
"894","5910","25020.02","2016",0.00956,"T"
"894","5910","25090","2016",57.62357,"T"
"894","5910","26130","2016",0.165,"T"
"894","5910","26150.01","2016",0.2,"T"
"894","5910","26150.02","2016",0.141,"T"
"894","5910","34120","2016",28.03,"T"
"894","5910","35410.90","2016",1.4585,"T"
"894","5910","39120.01","2016",7480.334,"T"
"894","5910","39120.04","2016",12650,"E"
"894","5910","39120.13","2016",209.057,"T"
"894","5910","39120.91","2016",0.2,"T"
"894","5910","39150.01","2016",0.007,"T"
"894","5910","F0022","2016",6997,"T"
"894","5910","F0472","2016",167.92833,"T"
"894","5910","F0623","2016",61.396,"T"
"894","5910","F0665","2016",0.363,"T"
"894","5910","F0769","2016",9.52125,"T"
"894","5910","F0875","2016",0.003,"T"
"894","5910","F1042","2016",0.016,"T"
"894","5910","F1172","2016",6.305,"T"
"894","5910","F1243","2016",2.40923,"T"
"894","5910","F1275","2016",23126,"T"
"894","5910","F1294","2016",33.678265,"T"
"894","5910","0112","2017",326998.45843,""
"894","5910","0114","2017",315.86684,"I"
"894","5910","0115","2017",181.30961,"I"
"894","5910","0116","2017",60.0032,""
"894","5910","0118","2017",30.0016,""
"894","5910","01199.90","2017",339.5183,""
"894","5910","01213","2017",3.50018,""
"894","5910","01221","2017",45.0024,""
"894","5910","01232","2017",1.00005,""
"894","5910","01234","2017",32.0017,""
"894","5910","01235","2017",0.06,""
"894","5910","01242","2017",67.2136,""
