"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"894","674","23710","2022",0.087452,"T","i"
"894","674","23710","2021",0.09805,"T","i"
"894","674","23710","2020",0.080057,"T","i"
"894","674","23710","2019",0.068569,"T","i"
"894","674","23710","2018",0.046778,"T","i"
"894","674","23710","2017",0.04111,"T","i"
"894","674","23710","2016",0.04103,"T","i"
"894","674","23710","2015",0.040933,"T","i"
"894","674","23710","2014",0.041037,"T","i"
"894","674","23710","2013",0.040744,"T","i"
"894","674","23710","2012",0.043831,"T","i"
"894","674","23710","2011",0.039193,"T","i"
"894","674","23710","2010",0.038679,"T","i"
"894","684","23710","2022",0.013228,"T","i"
"894","684","23710","2021",0.014831,"T","i"
"894","684","23710","2020",0.012109,"T","i"
"894","684","23710","2019",0.010372,"T","i"
"894","684","23710","2018",0.007076,"T","i"
"894","684","23710","2017",0.006218,"T","i"
"894","684","23710","2016",0.006206,"T","i"
"894","684","23710","2015",0.006192,"T","i"
"894","684","23710","2014",0.006207,"T","i"
"894","684","23710","2013",0.006163,"T","i"
"894","684","23710","2012",0.00663,"T","i"
"894","684","23710","2011",0.005928,"T","i"
"894","684","23710","2010",0.005851,"T","i"
"894","5166","23710","2022",0,"I","i"
"894","5166","23710","2021",0,"I","i"
"894","5166","23710","2020",0,"I","i"
"894","5166","23710","2019",0,"I","i"
"894","5166","23710","2018",0,"I","i"
"894","5166","23710","2017",0,"I","i"
"894","5166","23710","2016",0,"I","i"
"894","5166","23710","2015",0,"I","i"
"894","5166","23710","2014",0,"I","i"
"894","665","23710","2022",0.734894,"T","i"
"894","665","23710","2021",0.823948,"T","i"
"894","665","23710","2020",0.672748,"T","i"
"894","665","23710","2019",0.576213,"T","i"
"894","665","23710","2018",0.393096,"T","i"
"894","665","23710","2017",0.345465,"T","i"
"894","665","23710","2016",0.344788,"T","i"
"894","665","23710","2015",0.343976,"T","i"
"894","665","23710","2014",0.344852,"T","i"
"894","665","23710","2013",0.342389,"T","i"
"894","665","23710","2012",0.368326,"T","i"
"894","665","23710","2011",0.329356,"T","i"
"894","665","23710","2010",0.325038,"T","i"
"894","5510","23140.01","2022",5013.49,"I","c"
"894","5510","23140.01","2021",5186.91,"I","c"
"894","5510","23140.01","2020",4768.51,"I","c"
"894","5510","23140.01","2019",3384.35,"I","c"
"894","5510","23140.01","2018",3286.73,"I","c"
"894","5510","23140.01","2017",5100.82,"I","c"
"894","5510","23140.01","2016",3922.53,"I","c"
"894","5510","23140.01","2015",5900.43,"I","c"
"894","5510","23140.01","2014",3742.69,"I","c"
"894","5510","23140.01","2013",4665.64,"I","c"
"894","5510","23140.01","2012",5376.98,"I","c"
"894","5510","23140.01","2011",4864.97,"I","c"
"894","5510","23140.01","2010",3733.27,"I","c"
"894","5610","23140.01","2022",0.43,"","s"
"894","5610","23140.01","2020",0.235,"","s"
"894","5610","23140.01","2018",0.35,"","s"
"894","5610","23140.01","2017",28.975,"","s"
"894","5610","23140.01","2016",0.85956,"T","s"
"894","5610","23140.01","2015",2.145,"","s"
"894","5610","23140.01","2014",0.89,"","i"
"894","5610","23140.01","2013",0,"","-"
"894","5610","23140.01","2012",0,"","-"
"894","5610","23140.01","2011",0,"","-"
"894","5610","23140.01","2010",0,"T","-"
"894","5910","23140.01","2020",621.899,"","s"
"894","5910","23140.01","2018",157.5,"","i"
"894","5910","23140.01","2014",3.033957,"","s"
"894","5910","23140.01","2013",0,"E","t"
"894","5910","23140.01","2012",0,"E","t"
"894","5910","23140.01","2011",0,"E","t"
"894","5910","23140.01","2010",0,"T","-"
"894","5520","23140.01","2022",5013.92,"E","e"
"894","5520","23140.01","2021",5186.91,"E","e"
"894","5520","23140.01","2020",4146.846,"E","e"
"894","5520","23140.01","2019",3384.35,"E","e"
"894","5520","23140.01","2018",3129.58,"E","e"
"894","5520","23140.01","2017",5129.795,"E","e"
"894","5520","23140.01","2016",3923.38956,"E","e"
"894","5520","23140.01","2015",5902.575,"E","e"
"894","5520","23140.01","2014",3740.546043,"E","e"
"894","5520","23140.01","2013",4665.64,"E","e"
"894","5520","23140.01","2012",5376.98,"E","e"
"894","5520","23140.01","2011",4864.97,"E","e"
"894","5520","23140.01","2010",3733.27,"E","e"
"894","5141","23140.01","2022",0,"I","e"
"894","5141","23140.01","2021",0,"I","e"
"894","5141","23140.01","2020",0,"I","e"
"894","5141","23140.01","2019",0,"I","e"
"894","5141","23140.01","2018",0,"I","e"
"894","5141","23140.01","2017",0,"I","e"
"894","5141","23140.01","2016",0,"I","e"
"894","5141","23140.01","2015",0,"I","e"
