"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"894","261","S2515","2019",NA,NA,NA
"894","261","S2515","2018",NA,NA,NA
"894","261","S2515","2017",NA,NA,NA
"894","261","S2515","2016",NA,NA,NA
"894","261","S2515","2015",NA,NA,NA
"894","261","S2515","2014",NA,NA,NA
"894","271","S2515","2022",NA,NA,NA
"894","271","S2515","2021",NA,NA,NA
"894","271","S2515","2020",NA,NA,NA
"894","271","S2515","2019",NA,NA,NA
"894","271","S2515","2018",NA,NA,NA
"894","271","S2515","2017",NA,NA,NA
"894","271","S2515","2016",NA,NA,NA
"894","271","S2515","2015",NA,NA,NA
"894","271","S2515","2014",NA,NA,NA
"894","281","S2515","2022",NA,NA,NA
"894","281","S2515","2021",NA,NA,NA
"894","281","S2515","2020",NA,NA,NA
"894","281","S2515","2019",NA,NA,NA
"894","281","S2515","2018",NA,NA,NA
"894","281","S2515","2017",NA,NA,NA
"894","281","S2515","2016",NA,NA,NA
"894","281","S2515","2015",NA,NA,NA
"894","281","S2515","2014",NA,NA,NA
"894","664","S2515","2022",NA,NA,NA
"894","664","S2515","2021",NA,NA,NA
"894","664","S2515","2020",NA,NA,NA
"894","664","S2515","2019",NA,NA,NA
"894","664","S2515","2018",NA,NA,NA
"894","664","S2515","2017",NA,NA,NA
"894","664","S2515","2016",NA,NA,NA
"894","664","S2515","2015",NA,NA,NA
"894","664","S2515","2014",NA,NA,NA
"894","674","S2515","2022",NA,NA,NA
"894","674","S2515","2021",NA,NA,NA
"894","674","S2515","2020",NA,NA,NA
"894","674","S2515","2019",NA,NA,NA
"894","674","S2515","2018",NA,NA,NA
"894","674","S2515","2017",NA,NA,NA
"894","674","S2515","2016",NA,NA,NA
"894","674","S2515","2015",NA,NA,NA
"894","674","S2515","2014",NA,NA,NA
"894","684","S2515","2022",NA,NA,NA
"894","684","S2515","2021",NA,NA,NA
"894","684","S2515","2020",NA,NA,NA
"894","684","S2515","2019",NA,NA,NA
"894","684","S2515","2018",NA,NA,NA
"894","684","S2515","2017",NA,NA,NA
"894","684","S2515","2016",NA,NA,NA
"894","684","S2515","2015",NA,NA,NA
"894","684","S2515","2014",NA,NA,NA
"894","5166","S2515","2019",NA,NA,NA
"894","5166","S2515","2018",NA,NA,NA
"894","5166","S2515","2017",NA,NA,NA
"894","5166","S2515","2016",NA,NA,NA
"894","5166","S2515","2015",NA,NA,NA
"894","5166","S2515","2014",NA,NA,NA
